,titles,channel,total_views,video_link
27,Jim Cramer has his eyes on the 'Magnificent Seven',CNBC,18K,https://www.youtube.com/watch?v=KKXHlyCicjE&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=28&pp=iAQB
28,"Being short on a stock is much more difficult than being long, says Jim Cramer",CNBC,2K,https://www.youtube.com/watch?v=imvqEtSgduc&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=29&pp=iAQB
29,"Lightning Round: Hard pass on Quantumscape, says Jim Cramer",CNBC,2.6K,https://www.youtube.com/watch?v=iB6C0CYH8go&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=30&pp=iAQB
30,"The game of short selling is one-sided and unfair, says Jim Cramer",CNBC,25K,https://www.youtube.com/watch?v=JcqprBKlEZo&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=31&pp=iAQB
31,"China needs a better relationship with us than we do with them, says Jim Cramer",CNBC,1.8K,https://www.youtube.com/watch?v=Zl7lifXEtUo&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=32&pp=iAQB
32,"We strongly support enforcement of the law, says Fmr. CFTC Chair on crypto regulation",CNBC,1.3K,https://www.youtube.com/watch?v=gRD-5y8YwJA&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=33&pp=iAQB
33,"Lightning Round: Icahn Enterprises probably has another 10% higher to go, says Jim Cramer",CNBC,4K,https://www.youtube.com/watch?v=DDCMuBAFN-o&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=34&pp=iAQB
34,You're better off investing in a Chinese company that can accelerate growth in the U.S.: Jim Cramer,CNBC,29K,https://www.youtube.com/watch?v=BTXCqeYyOX4&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=35&pp=iAQB
35,"Our China business is back, says Levi Strauss CEO Chip Bergh",CNBC,2.8K,https://www.youtube.com/watch?v=7TLP68hn9p4&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=36&pp=iAQB
36,"We are going to see a smoking hot jobs number Friday, says Jim Cramer",CNBC,3K,https://www.youtube.com/watch?v=E8YKpXbyf64&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=37&pp=iAQB
